,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
8992,2,1.0,1.0,1.0,$558.00,5,14,2
8993,10,4.0,2.0,10.0,"$1,202.00",5,7,13
8994,4,2.0,1.0,3.0,"$1,097.00",2,1125,12
8995,2,1.0,1.0,1.0,$598.00,4,1125,32
8996,2,1.0,1.0,1.0,$992.00,4,14,1
8997,4,1.0,1.0,1.0,$847.00,2,6,12
8998,6,5.0,1.0,7.0,$900.00,7,28,0
8999,3,2.0,1.0,2.0,$900.00,3,1125,12
9000,2,2.0,1.0,2.0,$348.00,1,5,0
9001,5,2.0,2.0,5.0,$847.00,7,1125,8
9002,2,1.0,1.0,2.0,$302.00,14,1125,1
9003,4,2.0,1.0,3.0,$552.00,3,1125,24
9004,2,1.0,1.0,1.0,$401.00,2,1125,7
9005,4,2.0,1.5,2.0,$447.00,2,1125,0
